coach_id,country_id,cup_id,Coach Name
339,CHI,1930,ORTH Gyorgy (HUN)
340,FRA,1930,CAUDRON Raoul (FRA)
341,CHI,1930,ORTH Gyorgy (HUN)
342,FRA,1930,CAUDRON Raoul (FRA)
343,CHI,1930,ORTH Gyorgy (HUN)
344,FRA,1930,CAUDRON Raoul (FRA)
345,CHI,1930,ORTH Gyorgy (HUN)
346,FRA,1930,CAUDRON Raoul (FRA)
347,CHI,1930,ORTH Gyorgy (HUN)
348,FRA,1930,CAUDRON Raoul (FRA)
349,CHI,1930,ORTH Gyorgy (HUN)
350,FRA,1930,CAUDRON Raoul (FRA)
351,CHI,1930,ORTH Gyorgy (HUN)
352,FRA,1930,CAUDRON Raoul (FRA)
353,CHI,1930,ORTH Gyorgy (HUN)
354,FRA,1930,CAUDRON Raoul (FRA)
355,CHI,1930,ORTH Gyorgy (HUN)
356,FRA,1930,CAUDRON Raoul (FRA)
357,CHI,1930,ORTH Gyorgy (HUN)
358,FRA,1930,CAUDRON Raoul (FRA)
359,CHI,1930,ORTH Gyorgy (HUN)
360,FRA,1930,CAUDRON Raoul (FRA)
361,CHI,1930,ORTH Gyorgy (HUN)
362,FRA,1930,CAUDRON Raoul (FRA)
363,CHI,1930,ORTH Gyorgy (HUN)
364,FRA,1930,CAUDRON Raoul (FRA)
365,CHI,1930,ORTH Gyorgy (HUN)
366,FRA,1930,CAUDRON Raoul (FRA)
367,CHI,1930,ORTH Gyorgy (HUN)
368,CHI,1930,ORTH Gyorgy (HUN)
369,CHI,1930,ORTH Gyorgy (HUN)
370,ARG,1930,OLAZAR Francisco (ARG)
371,MEX,1930,LUQUE Juan (MEX)
372,ARG,1930,OLAZAR Francisco (ARG)
373,MEX,1930,LUQUE Juan (MEX)
374,ARG,1930,OLAZAR Francisco (ARG)
375,MEX,1930,LUQUE Juan (MEX)
376,ARG,1930,OLAZAR Francisco (ARG)
377,MEX,1930,LUQUE Juan (MEX)
378,ARG,1930,OLAZAR Francisco (ARG)
379,MEX,1930,LUQUE Juan (MEX)
380,ARG,1930,OLAZAR Francisco (ARG)
381,MEX,1930,LUQUE Juan (MEX)
382,ARG,1930,OLAZAR Francisco (ARG)
383,MEX,1930,LUQUE Juan (MEX)
384,ARG,1930,OLAZAR Francisco (ARG)
385,MEX,1930,LUQUE Juan (MEX)
386,ARG,1930,OLAZAR Francisco (ARG)
387,MEX,1930,LUQUE Juan (MEX)
388,ARG,1930,OLAZAR Francisco (ARG)
389,MEX,1930,LUQUE Juan (MEX)
390,ARG,1930,OLAZAR Francisco (ARG)
391,MEX,1930,LUQUE Juan (MEX)
392,ARG,1930,OLAZAR Francisco (ARG)
393,MEX,1930,LUQUE Juan (MEX)
394,ARG,1930,OLAZAR Francisco (ARG)
395,MEX,1930,LUQUE Juan (MEX)
396,ARG,1930,OLAZAR Francisco (ARG)
397,MEX,1930,LUQUE Juan (MEX)
398,ARG,1930,OLAZAR Francisco (ARG)
399,MEX,1930,LUQUE Juan (MEX)
400,ARG,1930,OLAZAR Francisco (ARG)
401,MEX,1930,LUQUE Juan (MEX)
402,ARG,1930,OLAZAR Francisco (ARG)
403,MEX,1930,LUQUE Juan (MEX)
404,ARG,1930,OLAZAR Francisco (ARG)
405,ARG,1930,OLAZAR Francisco (ARG)
406,ARG,1930,OLAZAR Francisco (ARG)
407,ARG,1930,OLAZAR Francisco (ARG)
408,ARG,1930,OLAZAR Francisco (ARG)
409,BRA,1930,DE CARVALHO Pindaro (BRA)
410,BOL,1930,SAUCEDO Ulises (BOL)
411,BRA,1930,DE CARVALHO Pindaro (BRA)
412,BOL,1930,SAUCEDO Ulises (BOL)
413,BRA,1930,DE CARVALHO Pindaro (BRA)
414,BOL,1930,SAUCEDO Ulises (BOL)
415,BRA,1930,DE CARVALHO Pindaro (BRA)
416,BOL,1930,SAUCEDO Ulises (BOL)
417,BRA,1930,DE CARVALHO Pindaro (BRA)
418,BOL,1930,SAUCEDO Ulises (BOL)
419,BRA,1930,DE CARVALHO Pindaro (BRA)
420,BOL,1930,SAUCEDO Ulises (BOL)
421,BRA,1930,DE CARVALHO Pindaro (BRA)
422,BOL,1930,SAUCEDO Ulises (BOL)
423,BRA,1930,DE CARVALHO Pindaro (BRA)
424,BOL,1930,SAUCEDO Ulises (BOL)
425,BRA,1930,DE CARVALHO Pindaro (BRA)
426,BOL,1930,SAUCEDO Ulises (BOL)
427,BRA,1930,DE CARVALHO Pindaro (BRA)
428,BOL,1930,SAUCEDO Ulises (BOL)
429,BRA,1930,DE CARVALHO Pindaro (BRA)
430,BOL,1930,SAUCEDO Ulises (BOL)
431,BRA,1930,DE CARVALHO Pindaro (BRA)
432,BOL,1930,SAUCEDO Ulises (BOL)
433,BRA,1930,DE CARVALHO Pindaro (BRA)
434,BOL,1930,SAUCEDO Ulises (BOL)
435,BRA,1930,DE CARVALHO Pindaro (BRA)
436,BOL,1930,SAUCEDO Ulises (BOL)
437,BRA,1930,DE CARVALHO Pindaro (BRA)
